instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
Acción CDE-1990,BVLIMA,2024-03,Derivados,0.0626,0.0188,0.0846,0.0058,0.0092,0.1076,0.0154,0.0595,0.0256,0.0321,0.1006,0.4282,49613,false
Bono Corporativo CDE-1991,MILA,2024-04,Estructurado,0.0609,0.0780,0.0779,0.0012,0.0542,0.0104,0.0328,0.0667,0.0145,0.1412,0.1003,0.3119,74703,false
ETF CDE-1992,BVC,2024-05,Dividendos,0.0007,0.0812,0.0204,0.0089,0.0359,0.0784,0.0306,0.0577,0.0703,0.1329,0.1160,0.3170,153010,true
Fondo Mutuo CDE-1993,COLCAP,2024-06,Intereses,0.0248,0.0288,0.0780,0.0678,0.0903,0.0212,0.0253,0.1005,0.0402,0.0015,0.0928,0.3788,32864,false
Bono Gobierno CDE-1994,BVLIMA,2024-07,Capital,0.0734,0.0795,0.0753,0.0606,0.0416,0.0633,0.0919,0.0723,0.0896,0.0920,0.0134,0.1971,130964,false
Acción Preferente CDE-1995,MILA,2024-08,Mixto,0.0532,0.0389,0.0525,0.0478,0.0177,0.0875,0.0101,0.0286,0.0721,0.0376,0.1252,0.3788,61276,true
Warrant CDE-1996,BVC,2024-09,Renta Fija,0.0505,0.0513,0.0728,0.0820,0.0227,0.0569,0.0783,0.0173,0.0207,0.1401,0.0960,0.2614,88954,false
ADR CDE-1997,COLCAP,2024-10,Renta Variable,0.0729,0.0532,0.0482,0.0388,0.0470,0.0216,0.0509,0.0980,0.0451,0.0746,0.1294,0.2703,89248,false
REIT CDE-1998,BVLIMA,2024-11,Derivados,0.0228,0.0395,0.0726,0.0822,0.0154,0.0693,0.0933,0.0276,0.0376,0.0761,0.0294,0.3842,73097,true
Fondo Indexado CDE-1999,MILA,2024-12,Estructurado,0.0154,0.0830,0.0803,0.0306,0.0783,0.0194,0.0385,0.0211,0.0576,0.1215,0.1239,0.2804,192142,false
Acción ABC-2000,BVC,2024-Q1,Dividendos,0.0156,0.0096,0.0261,0.0815,0.0410,0.1000,0.1042,0.0037,0.0136,0.0948,0.0631,0.3968,143357,false
Bono Corporativo ABC-2001,COLCAP,2024-Q2,Intereses,0.0020,0.0702,0.0261,0.0847,0.0741,0.0236,0.0136,0.0293,0.1150,0.0613,0.0681,0.3820,18273,true
ETF ABC-2002,BVLIMA,2024-Q3,Capital,0.0335,0.0320,0.0496,0.0120,0.0284,0.1133,0.1080,0.0053,0.1141,0.0003,0.0140,0.4395,38908,false
Fondo Mutuo ABC-2003,MILA,2024-Q4,Mixto,0.0534,0.0112,0.0678,0.0725,0.0695,0.0735,0.0324,0.0794,0.0683,0.0241,0.1040,0.2939,111684,false
Bono Gobierno ABC-2004,BVC,2023-Q1,Renta Fija,0.0762,0.0552,0.0266,0.0670,0.0867,0.0860,0.0169,0.0145,0.0059,0.0992,0.1303,0.2855,168349,true
Acción Preferente ABC-2005,COLCAP,2023-Q2,Renta Variable,0.0263,0.0676,0.0303,0.0771,0.0574,0.0795,0.0350,0.0620,0.0505,0.1497,0.1477,0.1669,191166,false
Warrant ABC-2006,BVLIMA,2023-Q3,Derivados,0.0580,0.0121,0.0295,0.0918,0.0883,0.0799,0.0678,0.0564,0.1013,0.0732,0.1245,0.1672,114815,false
ADR ABC-2007,MILA,2023-Q4,Estructurado,0.0193,0.0445,0.0167,0.0445,0.0968,0.0127,0.0408,0.0054,0.0178,0.1241,0.0154,0.5120,50084,true
REIT ABC-2008,BVC,2024-01,Dividendos,0.0599,0.0661,0.0201,0.0019,0.0216,0.0206,0.0341,0.0612,0.0973,0.1486,0.1295,0.2891,157065,false
Fondo Indexado ABC-2009,COLCAP,2024-02,Intereses,0.0021,0.0422,0.0190,0.0861,0.0654,0.0215,0.0260,0.1022,0.1312,0.1431,0.0155,0.2957,109782,false
Acción XYZ-2010,BVLIMA,2024-03,Capital,0.0009,0.0297,0.0443,0.0752,0.0856,0.0784,0.0526,0.0355,0.0780,0.0789,0.1348,0.2561,110852,true
Bono Corporativo XYZ-2011,MILA,2024-04,Mixto,0.0068,0.0289,0.0246,0.0043,0.1034,0.0244,0.1125,0.0901,0.0724,0.0724,0.0945,0.3157,118486,false
ETF XYZ-2012,BVC,2024-05,Renta Fija,0.0790,0.0281,0.0366,0.0394,0.0388,0.0627,0.0064,0.0873,0.1140,0.0771,0.0699,0.3107,112301,false
Fondo Mutuo XYZ-2013,COLCAP,2024-06,Renta Variable,0.0702,0.0207,0.0049,0.0730,0.0659,0.0278,0.0925,0.0103,0.0251,0.0686,0.0438,0.4472,31987,true
Bono Gobierno XYZ-2014,BVLIMA,2024-07,Derivados,0.0046,0.0616,0.0217,0.0070,0.0235,0.0068,0.1180,0.1045,0.0696,0.0021,0.0052,0.5254,168857,false
Acción Preferente XYZ-2015,MILA,2024-08,Estructurado,0.0437,0.0523,0.0652,0.0832,0.0456,0.0340,0.0009,0.1014,0.0165,0.0749,0.1351,0.2972,138287,false
Warrant XYZ-2016,BVC,2024-09,Dividendos,0.0746,0.0325,0.0706,0.0566,0.0242,0.0870,0.0414,0.1002,0.0772,0.0354,0.0748,0.2755,47728,true
ADR XYZ-2017,COLCAP,2024-10,Intereses,0.0572,0.0281,0.0356,0.0321,0.0522,0.0046,0.1153,0.0263,0.1142,0.1104,0.0105,0.3635,178249,false
REIT XYZ-2018,BVLIMA,2024-11,Capital,0.0735,0.0603,0.0752,0.0444,0.0506,0.0722,0.0716,0.0274,0.0061,0.0042,0.0101,0.4544,73553,false
Fondo Indexado XYZ-2019,MILA,2024-12,Mixto,0.0659,0.0577,0.0605,0.0645,0.0255,0.0037,0.0269,0.0432,0.0780,0.0961,0.1209,0.3071,71806,true
Acción DEF-2020,BVC,2024-Q1,Renta Fija,0.0743,0.0009,0.0674,0.0666,0.0309,0.0016,0.0229,0.1262,0.0527,0.0128,0.1290,0.3647,176370,false
Bono Corporativo DEF-2021,COLCAP,2024-Q2,Renta Variable,0.0271,0.0629,0.0342,0.0517,0.0601,0.0589,0.0598,0.0190,0.0229,0.0150,0.0611,0.4773,35582,false
ETF DEF-2022,BVLIMA,2024-Q3,Derivados,0.0610,0.0665,0.0578,0.0007,0.0916,0.0655,0.0791,0.0689,0.0506,0.0979,0.1124,0.1980,163032,true
Fondo Mutuo DEF-2023,MILA,2024-Q4,Estructurado,0.0621,0.0022,0.0377,0.0656,0.0762,0.0495,0.0523,0.0431,0.0241,0.0660,0.0494,0.4218,195119,false
Bono Gobierno DEF-2024,BVC,2023-Q1,Dividendos,0.0111,0.0475,0.0486,0.0568,0.0965,0.0355,0.0313,0.0752,0.1148,0.0981,0.0502,0.2844,151356,false
Acción Preferente DEF-2025,COLCAP,2023-Q2,Intereses,0.0268,0.0473,0.0348,0.0112,0.1026,0.0503,0.0729,0.0988,0.0284,0.1480,0.0445,0.2844,189130,true
Warrant DEF-2026,BVLIMA,2023-Q3,Capital,0.0195,0.0120,0.0017,0.0996,0.0797,0.0431,0.0683,0.0284,0.0730,0.0396,0.0748,0.4103,183778,false
ADR DEF-2027,MILA,2023-Q4,Mixto,0.0676,0.0066,0.0421,0.0584,0.0689,0.0643,0.0352,0.0147,0.1137,0.1038,0.1424,0.2323,70513,false
REIT DEF-2028,BVC,2024-01,Renta Fija,0.0285,0.0116,0.0316,0.0129,0.1031,0.0702,0.0718,0.1131,0.0534,0.1328,0.0981,0.2229,123623,true
Fondo Indexado DEF-2029,COLCAP,2024-02,Renta Variable,0.0099,0.0023,0.0007,0.0471,0.0296,0.0435,0.0568,0.0078,0.0482,0.0078,0.0121,0.6842,157713,false
Acción GHI-2030,BVLIMA,2024-03,Derivados,0.0312,0.0496,0.0236,0.0595,0.0402,0.0304,0.0961,0.0848,0.1307,0.0121,0.0328,0.3590,49073,false
Bono Corporativo GHI-2031,MILA,2024-04,Estructurado,0.0443,0.0231,0.0881,0.0494,0.0742,0.0737,0.0946,0.0374,0.1011,0.0182,0.0293,0.3166,54097,true
ETF GHI-2032,BVC,2024-05,Dividendos,0.0003,0.0703,0.0740,0.0604,0.0503,0.0967,0.0678,0.1005,0.0199,0.0080,0.1117,0.2901,33810,false
Fondo Mutuo GHI-2033,COLCAP,2024-06,Intereses,0.0176,0.0369,0.0550,0.0084,0.0185,0.0447,0.0973,0.0919,0.1121,0.1474,0.1292,0.1910,81741,false
Bono Gobierno GHI-2034,BVLIMA,2024-07,Capital,0.0112,0.0528,0.0287,0.0772,0.0656,0.0034,0.0899,0.0384,0.1200,0.0745,0.0887,0.2996,52946,true
Acción Preferente GHI-2035,MILA,2024-08,Mixto,0.0475,0.0659,0.0626,0.0490,0.0134,0.0189,0.0940,0.1159,0.0578,0.1065,0.0950,0.2235,125179,false
Warrant GHI-2036,BVC,2024-09,Renta Fija,0.0675,0.0444,0.0498,0.0018,0.0325,0.0110,0.1137,0.1064,0.0852,0.0794,0.0484,0.3099,61283,false
ADR GHI-2037,COLCAP,2024-10,Renta Variable,0.0684,0.0507,0.0352,0.0770,0.0400,0.0065,0.0521,0.0920,0.0018,0.1128,0.0784,0.3351,198502,true
REIT GHI-2038,BVLIMA,2024-11,Derivados,0.0064,0.0244,0.0173,0.0715,0.0811,0.0583,0.0762,0.0058,0.1118,0.0212,0.1081,0.3679,11569,false
Fondo Indexado GHI-2039,MILA,2024-12,Estructurado,0.0436,0.0370,0.0565,0.0144,0.0721,0.0379,0.0327,0.0908,0.1195,0.0450,0.0520,0.3485,135573,false
Acción JKL-2040,BVC,2024-Q1,Dividendos,0.0587,0.0106,0.0287,0.0512,0.0522,0.0920,0.0323,0.0274,0.1467,0.1445,0.0477,0.2580,18084,true
Bono Corporativo JKL-2041,COLCAP,2024-Q2,Intereses,0.0257,0.0028,0.0656,0.0608,0.0404,0.0547,0.0644,0.0494,0.1238,0.0921,0.1382,0.2321,110861,false
ETF JKL-2042,BVLIMA,2024-Q3,Capital,0.0112,0.0657,0.0191,0.0134,0.0164,0.0929,0.0087,0.0961,0.1192,0.1446,0.1319,0.2308,32292,false
Fondo Mutuo JKL-2043,MILA,2024-Q4,Mixto,0.0220,0.0402,0.0346,0.0804,0.0908,0.0075,0.0181,0.0364,0.1324,0.1059,0.1014,0.2803,138974,true
Bono Gobierno JKL-2044,BVC,2023-Q1,Renta Fija,0.0134,0.0117,0.0778,0.0604,0.0981,0.0393,0.0743,0.0948,0.0311,0.1448,0.0260,0.2783,95969,false
Acción Preferente JKL-2045,COLCAP,2023-Q2,Renta Variable,0.0743,0.0020,0.0500,0.0378,0.0560,0.0430,0.0443,0.0804,0.1355,0.0249,0.0844,0.3174,79179,false
Warrant JKL-2046,BVLIMA,2023-Q3,Derivados,0.0234,0.0609,0.0510,0.0018,0.0531,0.0376,0.0082,0.0327,0.1223,0.1010,0.0946,0.3634,98273,true
ADR JKL-2047,MILA,2023-Q4,Estructurado,0.0235,0.0553,0.0072,0.0044,0.0477,0.0908,0.0005,0.0422,0.0613,0.1021,0.0479,0.4671,112091,false
REIT JKL-2048,BVC,2024-01,Dividendos,0.0732,0.0110,0.0603,0.0157,0.0721,0.0623,0.0671,0.0041,0.0211,0.1385,0.0496,0.3750,91246,false
Fondo Indexado JKL-2049,COLCAP,2024-02,Intereses,0.0098,0.0682,0.0406,0.0617,0.0847,0.0800,0.0951,0.0897,0.0306,0.0734,0.0480,0.2682,187951,true
Acción MNO-2050,BVLIMA,2024-03,Capital,0.0690,0.0546,0.0684,0.0154,0.0593,0.0557,0.0400,0.0438,0.0756,0.1441,0.1418,0.1823,103147,false
Bono Corporativo MNO-2051,MILA,2024-04,Mixto,0.0248,0.0053,0.0278,0.0727,0.0701,0.0490,0.0054,0.0329,0.1280,0.0045,0.0154,0.5141,59157,false
ETF MNO-2052,BVC,2024-05,Renta Fija,0.0410,0.0534,0.0301,0.0361,0.0840,0.0303,0.0880,0.0087,0.0617,0.0221,0.0712,0.4234,169115,true
Fondo Mutuo MNO-2053,COLCAP,2024-06,Renta Variable,0.0564,0.0710,0.0763,0.0351,0.0446,0.0387,0.0353,0.0872,0.1041,0.0019,0.1098,0.2896,25880,false
Bono Gobierno MNO-2054,BVLIMA,2024-07,Derivados,0.0466,0.0600,0.0358,0.0597,0.0220,0.0111,0.0483,0.0987,0.0322,0.1163,0.0735,0.3458,135597,false
Acción Preferente MNO-2055,MILA,2024-08,Estructurado,0.0304,0.0476,0.0551,0.0396,0.0508,0.0957,0.0393,0.0444,0.1297,0.1365,0.0584,0.2225,79350,true
Warrant MNO-2056,BVC,2024-09,Dividendos,0.0532,0.0505,0.0388,0.0053,0.0623,0.0991,0.0580,0.0816,0.1105,0.0282,0.0236,0.3389,45485,false
ADR MNO-2057,COLCAP,2024-10,Intereses,0.0682,0.0247,0.0607,0.0770,0.0349,0.0916,0.0330,0.0667,0.1096,0.0799,0.1139,0.1898,180554,false
REIT MNO-2058,BVLIMA,2024-11,Capital,0.0711,0.0431,0.0004,0.0922,0.0618,0.0326,0.0825,0.0904,0.0879,0.0979,0.1100,0.1801,40524,true
Fondo Indexado MNO-2059,MILA,2024-12,Mixto,0.0243,0.0748,0.0772,0.0031,0.0442,0.0595,0.0899,0.1044,0.0324,0.0891,0.0960,0.2551,34881,false
Acción PQR-2060,BVC,2024-Q1,Renta Fija,0.0035,0.0512,0.0770,0.0225,0.0692,0.0229,0.0331,0.0847,0.0947,0.0424,0.0776,0.3712,35393,false
Bono Corporativo PQR-2061,COLCAP,2024-Q2,Renta Variable,0.0276,0.0432,0.0223,0.0284,0.0702,0.0215,0.1138,0.0376,0.0261,0.0168,0.0518,0.4907,124875,true
ETF PQR-2062,BVLIMA,2024-Q3,Derivados,0.0212,0.0014,0.0495,0.0245,0.0935,0.0055,0.1193,0.1127,0.0617,0.0500,0.1176,0.2931,160801,false
Fondo Mutuo PQR-2063,MILA,2024-Q4,Estructurado,0.0697,0.0329,0.0628,0.0825,0.0760,0.0045,0.0027,0.0010,0.0984,0.0103,0.0672,0.4420,51161,false
Bono Gobierno PQR-2064,BVC,2023-Q1,Dividendos,0.0722,0.0060,0.0124,0.0433,0.0966,0.0599,0.0544,0.0516,0.1207,0.0324,0.1022,0.2983,130431,true
Acción Preferente PQR-2065,COLCAP,2023-Q2,Intereses,0.0479,0.0519,0.0669,0.0780,0.0423,0.0013,0.0811,0.0775,0.0242,0.1290,0.0773,0.2726,108800,false
Warrant PQR-2066,BVLIMA,2023-Q3,Capital,0.0433,0.0320,0.0636,0.0096,0.0831,0.1013,0.0595,0.0012,0.0106,0.0834,0.0436,0.4188,65553,false
ADR PQR-2067,MILA,2023-Q4,Mixto,0.0230,0.0334,0.0638,0.0506,0.0284,0.0326,0.0521,0.0556,0.0931,0.0904,0.0534,0.3736,10963,true
REIT PQR-2068,BVC,2024-01,Renta Fija,0.0574,0.0081,0.0556,0.0253,0.0487,0.0627,0.0679,0.0093,0.1188,0.0168,0.0496,0.4298,104291,false
Fondo Indexado PQR-2069,COLCAP,2024-02,Renta Variable,0.0468,0.0458,0.0012,0.0830,0.0514,0.0138,0.0471,0.0942,0.0720,0.0198,0.1238,0.3511,14197,false
Acción STU-2070,BVLIMA,2024-03,Derivados,0.0043,0.0634,0.0790,0.0141,0.0240,0.0821,0.0897,0.0729,0.1301,0.0697,0.1187,0.2020,69320,true
Bono Corporativo STU-2071,MILA,2024-04,Estructurado,0.0556,0.0013,0.0054,0.0917,0.0939,0.1000,0.0553,0.0373,0.1140,0.0940,0.0759,0.2256,161763,false
ETF STU-2072,BVC,2024-05,Dividendos,0.0541,0.0388,0.0430,0.0040,0.0450,0.0424,0.0181,0.0547,0.0901,0.0049,0.0584,0.4965,17153,false
Fondo Mutuo STU-2073,COLCAP,2024-06,Intereses,0.0756,0.0317,0.0523,0.0734,0.0826,0.0422,0.0306,0.0437,0.0784,0.1297,0.0426,0.2672,29667,true
Bono Gobierno STU-2074,BVLIMA,2024-07,Capital,0.0206,0.0228,0.0621,0.0214,0.0624,0.0082,0.1119,0.0725,0.0815,0.0588,0.0896,0.3382,95245,false
Acción Preferente STU-2075,MILA,2024-08,Mixto,0.0087,0.0452,0.0636,0.0232,0.0901,0.0027,0.0998,0.0512,0.0502,0.0839,0.1129,0.3185,170349,false
Warrant STU-2076,BVC,2024-09,Renta Fija,0.0276,0.0245,0.0502,0.0815,0.0180,0.1019,0.0477,0.0646,0.1190,0.0355,0.0617,0.3178,94913,true
ADR STU-2077,COLCAP,2024-10,Renta Variable,0.0680,0.0674,0.0474,0.0117,0.0598,0.0911,0.0462,0.0445,0.0745,0.0794,0.1019,0.2581,66867,false
REIT STU-2078,BVLIMA,2024-11,Derivados,0.0372,0.0293,0.0175,0.0873,0.0899,0.0408,0.0526,0.0112,0.0087,0.1404,0.0152,0.4199,166871,false
Fondo Indexado STU-2079,MILA,2024-12,Estructurado,0.0671,0.0394,0.0698,0.0393,0.0142,0.0981,0.0271,0.0994,0.1043,0.0073,0.0980,0.2860,199769,true
Acción VWX-2080,BVC,2024-Q1,Dividendos,0.0510,0.0291,0.0675,0.0605,0.0212,0.0082,0.0730,0.0273,0.0921,0.0424,0.1255,0.3522,198788,false
Bono Corporativo VWX-2081,COLCAP,2024-Q2,Intereses,0.0058,0.0108,0.0843,0.0135,0.0208,0.1075,0.0943,0.0874,0.0161,0.0436,0.0298,0.4361,76145,false
ETF VWX-2082,BVLIMA,2024-Q3,Capital,0.0365,0.0496,0.0424,0.0050,0.0460,0.0207,0.0870,0.0266,0.0362,0.0405,0.1322,0.4273,69480,true
Fondo Mutuo VWX-2083,MILA,2024-Q4,Mixto,0.0387,0.0596,0.0108,0.0442,0.0245,0.0626,0.0912,0.0268,0.0836,0.1141,0.1052,0.2887,139806,false
Bono Gobierno VWX-2084,BVC,2023-Q1,Renta Fija,0.0369,0.0295,0.0270,0.0869,0.0162,0.0739,0.0723,0.0958,0.0269,0.0870,0.0326,0.3650,59396,false
Acción Preferente VWX-2085,COLCAP,2023-Q2,Renta Variable,0.0522,0.0708,0.0197,0.0325,0.0039,0.0133,0.0255,0.0620,0.0108,0.0433,0.0835,0.5325,38371,true
Warrant VWX-2086,BVLIMA,2023-Q3,Derivados,0.0532,0.0242,0.0076,0.0423,0.0772,0.0091,0.0154,0.0300,0.0033,0.0540,0.0088,0.6249,20899,false
ADR VWX-2087,MILA,2023-Q4,Estructurado,0.0548,0.0158,0.0747,0.0090,0.0985,0.0743,0.0366,0.0373,0.1104,0.0807,0.0755,0.2824,113726,false
REIT VWX-2088,BVC,2024-01,Dividendos,0.0478,0.0344,0.0234,0.0586,0.0040,0.0072,0.1240,0.1208,0.0719,0.0034,0.0314,0.4231,38833,true
Fondo Indexado VWX-2089,COLCAP,2024-02,Intereses,0.0765,0.0038,0.0459,0.0114,0.0368,0.0039,0.0314,0.0789,0.1051,0.0477,0.1479,0.3607,168949,false
Acción YZA-2090,BVLIMA,2024-03,Capital,0.0241,0.0309,0.0893,0.0450,0.0561,0.0980,0.0111,0.1086,0.0621,0.1125,0.1110,0.2013,104776,false
Bono Corporativo YZA-2091,MILA,2024-04,Mixto,0.0137,0.0226,0.0563,0.0124,0.0423,0.0059,0.0235,0.1007,0.0214,0.0429,0.0290,0.5793,161230,true
ETF YZA-2092,BVC,2024-05,Renta Fija,0.0778,0.0312,0.0416,0.0052,0.0009,0.0250,0.0495,0.0760,0.0445,0.0905,0.0955,0.4123,191434,false
Fondo Mutuo YZA-2093,COLCAP,2024-06,Renta Variable,0.0021,0.0143,0.0721,0.0901,0.0784,0.0430,0.0106,0.1071,0.1041,0.0875,0.0248,0.3159,147725,false
Bono Gobierno YZA-2094,BVLIMA,2024-07,Derivados,0.0639,0.0603,0.0234,0.0105,0.0918,0.0792,0.0522,0.0084,0.0250,0.1354,0.0347,0.3652,120111,true
Acción Preferente YZA-2095,MILA,2024-08,Estructurado,0.0210,0.0273,0.0753,0.0354,0.0976,0.0089,0.0196,0.0423,0.0566,0.0651,0.0757,0.4252,145204,false
Warrant YZA-2096,BVC,2024-09,Dividendos,0.0060,0.0629,0.0636,0.0777,0.0362,0.0616,0.0783,0.0909,0.0021,0.0480,0.0089,0.4138,103619,false
ADR YZA-2097,COLCAP,2024-10,Intereses,0.0047,0.0349,0.0556,0.0444,0.0977,0.0640,0.0563,0.0031,0.0826,0.1141,0.0210,0.3716,34496,true
REIT YZA-2098,BVLIMA,2024-11,Capital,0.0792,0.0546,0.0233,0.0500,0.0217,0.0567,0.0092,0.0818,0.0211,0.0607,0.1020,0.3897,136431,false
Fondo Indexado YZA-2099,MILA,2024-12,Mixto,0.0202,0.0725,0.0318,0.0838,0.0758,0.0538,0.1007,0.0715,0.0688,0.1066,0.0388,0.2257,135493,false
Acción BCD-2100,BVC,2024-Q1,Renta Fija,0.0570,0.0206,0.0397,0.0240,0.0602,0.0237,0.0148,0.0043,0.1432,0.0359,0.1144,0.4122,192672,true
Bono Corporativo BCD-2101,COLCAP,2024-Q2,Renta Variable,0.0272,0.0252,0.0391,0.0371,0.0342,0.0989,0.1009,0.0874,0.1208,0.0893,0.0691,0.2208,36838,false
ETF BCD-2102,BVLIMA,2024-Q3,Derivados,0.0446,0.0295,0.0165,0.0452,0.0566,0.0640,0.1012,0.0245,0.0661,0.0104,0.0321,0.4593,128532,false
Fondo Mutuo BCD-2103,MILA,2024-Q4,Estructurado,0.0466,0.0028,0.0746,0.0262,0.0105,0.0034,0.1207,0.0358,0.0543,0.0361,0.0065,0.5325,154009,true
Bono Gobierno BCD-2104,BVC,2023-Q1,Dividendos,0.0613,0.0383,0.0401,0.0456,0.0607,0.0374,0.0459,0.0687,0.0579,0.0106,0.1420,0.3415,52616,false
Acción Preferente BCD-2105,COLCAP,2023-Q2,Intereses,0.0477,0.0319,0.0794,0.0819,0.0064,0.0077,0.0908,0.0155,0.0176,0.0780,0.1111,0.3820,106160,false
Warrant BCD-2106,BVLIMA,2023-Q3,Capital,0.0234,0.0153,0.0017,0.0966,0.0540,0.0863,0.0134,0.0689,0.0303,0.0083,0.0708,0.4810,183175,true
ADR BCD-2107,MILA,2023-Q4,Mixto,0.0421,0.0036,0.0098,0.0984,0.0217,0.0390,0.0698,0.0211,0.1035,0.1154,0.1080,0.3176,149597,false
REIT BCD-2108,BVC,2024-01,Renta Fija,0.0791,0.0360,0.0488,0.0342,0.0858,0.0259,0.0402,0.0680,0.0561,0.0260,0.0767,0.3732,185056,false
Fondo Indexado BCD-2109,COLCAP,2024-02,Renta Variable,0.0487,0.0727,0.0105,0.0253,0.0664,0.0813,0.0332,0.0722,0.0996,0.1189,0.0527,0.2685,89052,true
Acción EFG-2110,BVLIMA,2024-03,Derivados,0.0655,0.0022,0.0032,0.0337,0.0764,0.0923,0.0100,0.0601,0.1017,0.0245,0.0855,0.3949,68675,false
Bono Corporativo EFG-2111,MILA,2024-04,Estructurado,0.0647,0.0511,0.0402,0.0279,0.0795,0.0470,0.0275,0.0351,0.0103,0.1121,0.0626,0.3920,44052,false
ETF EFG-2112,BVC,2024-05,Dividendos,0.0700,0.0312,0.0747,0.0173,0.0795,0.0614,0.0213,0.0214,0.1379,0.1053,0.0122,0.3178,137579,true
Fondo Mutuo EFG-2113,COLCAP,2024-06,Intereses,0.0469,0.0263,0.0132,0.0168,0.0317,0.0216,0.1182,0.0311,0.1011,0.0573,0.0287,0.4571,167847,false
Bono Gobierno EFG-2114,BVLIMA,2024-07,Capital,0.0120,0.0462,0.0173,0.0632,0.0565,0.0546,0.0466,0.0571,0.0516,0.0812,0.1296,0.3341,48650,false
Acción Preferente EFG-2115,MILA,2024-08,Mixto,0.0205,0.0697,0.0327,0.0441,0.0668,0.0382,0.1094,0.0089,0.1120,0.0343,0.0417,0.3717,84508,true
Warrant EFG-2116,BVC,2024-09,Renta Fija,0.0685,0.0253,0.0126,0.0164,0.0979,0.0676,0.1039,0.0878,0.0211,0.0520,0.0446,0.3523,97378,false
ADR EFG-2117,COLCAP,2024-10,Renta Variable,0.0597,0.0768,0.0135,0.0118,0.0046,0.0481,0.0386,0.0709,0.0611,0.1399,0.1409,0.2841,157955,false
REIT EFG-2118,BVLIMA,2024-11,Derivados,0.0341,0.0638,0.0342,0.0206,0.0688,0.0350,0.0072,0.0672,0.1405,0.0468,0.1373,0.2945,15642,true
Fondo Indexado EFG-2119,MILA,2024-12,Estructurado,0.0191,0.0561,0.0002,0.0189,0.0558,0.0043,0.0724,0.1170,0.0266,0.1135,0.0118,0.4543,174721,false
Acción HIJ-2120,BVC,2024-Q1,Dividendos,0.0432,0.0265,0.0630,0.0115,0.0925,0.0117,0.1086,0.1084,0.1154,0.0641,0.1409,0.1642,100490,false
Bono Corporativo HIJ-2121,COLCAP,2024-Q2,Intereses,0.0646,0.0022,0.0483,0.0562,0.0954,0.0071,0.0687,0.0645,0.1086,0.0918,0.0190,0.3236,59129,true
ETF HIJ-2122,BVLIMA,2024-Q3,Capital,0.0428,0.0683,0.0203,0.0064,0.0837,0.0308,0.0711,0.0251,0.0454,0.1041,0.1047,0.3473,35516,false
Fondo Mutuo HIJ-2123,MILA,2024-Q4,Mixto,0.0311,0.0186,0.0838,0.0367,0.0139,0.0740,0.0190,0.0866,0.0235,0.0646,0.0333,0.4649,125154,false
Bono Gobierno HIJ-2124,BVC,2023-Q1,Renta Fija,0.0366,0.0703,0.0822,0.0255,0.0057,0.0142,0.0295,0.0490,0.1370,0.1072,0.1169,0.2759,135478,true
Acción Preferente HIJ-2125,COLCAP,2023-Q2,Renta Variable,0.0699,0.0252,0.0606,0.0647,0.0806,0.0856,0.0161,0.0666,0.0105,0.0427,0.0794,0.3481,174858,false
Warrant HIJ-2126,BVLIMA,2023-Q3,Derivados,0.0325,0.0542,0.0326,0.0702,0.0942,0.0294,0.0872,0.1080,0.0789,0.1044,0.0900,0.1684,103853,false
ADR HIJ-2127,MILA,2023-Q4,Estructurado,0.0628,0.0040,0.0599,0.0346,0.0422,0.0972,0.0381,0.0834,0.0984,0.0076,0.0895,0.3323,36147,true
REIT HIJ-2128,BVC,2024-01,Dividendos,0.0749,0.0733,0.0431,0.0488,0.0879,0.0624,0.0907,0.0717,0.0121,0.1243,0.0538,0.2070,77257,false
Fondo Indexado HIJ-2129,COLCAP,2024-02,Intereses,0.0354,0.0664,0.0012,0.0548,0.0170,0.0157,0.1004,0.1218,0.0953,0.0560,0.0618,0.3242,86419,false
Acción KLM-2130,BVLIMA,2024-03,Capital,0.0006,0.0079,0.0410,0.0083,0.0637,0.0839,0.0837,0.0952,0.0747,0.1124,0.1487,0.2299,128206,true
Bono Corporativo KLM-2131,MILA,2024-04,Mixto,0.0358,0.0448,0.0132,0.0889,0.0103,0.0062,0.0945,0.0850,0.0021,0.1261,0.1442,0.2989,58585,false
ETF KLM-2132,BVC,2024-05,Renta Fija,0.0692,0.0048,0.0339,0.0401,0.0762,0.0803,0.0856,0.0199,0.1275,0.1042,0.0797,0.2286,23651,false
Fondo Mutuo KLM-2133,COLCAP,2024-06,Renta Variable,0.0236,0.0714,0.0746,0.0653,0.0832,0.0159,0.0896,0.0057,0.0972,0.0377,0.0131,0.3727,80048,true
Bono Gobierno KLM-2134,BVLIMA,2024-07,Derivados,0.0450,0.0640,0.0211,0.0501,0.0909,0.0389,0.0034,0.0355,0.0965,0.0731,0.0130,0.4185,170908,false
Acción Preferente KLM-2135,MILA,2024-08,Estructurado,0.0008,0.0726,0.0369,0.0787,0.0855,0.0388,0.0325,0.0312,0.0200,0.1485,0.1224,0.2821,181326,false
Warrant KLM-2136,BVC,2024-09,Dividendos,0.0275,0.0686,0.0226,0.0759,0.0037,0.0750,0.0398,0.0695,0.0269,0.0543,0.0318,0.4544,113956,true
